,LotArea,Street,BldgType,OverallQual,OverallCond,YearBuilt,YearRemodAdd,CentralAir,MoSold,YrSold,SalePrice
0,8450,1,0,7,5,2003,2003,1,2,2008,208500
1,9600,1,0,6,8,1976,1976,1,5,2007,181500
2,11250,1,0,7,5,2001,2002,1,9,2008,223500
3,9550,1,0,7,5,1915,1970,1,2,2006,140000
4,14260,1,0,8,5,2000,2000,1,12,2008,250000
5,14115,1,0,5,5,1993,1995,1,10,2009,143000
6,10084,1,0,8,5,2004,2005,1,8,2007,307000
7,10382,1,0,7,6,1973,1973,1,11,2009,200000
8,6120,1,0,7,5,1931,1950,1,4,2008,129900
9,7420,1,1,5,6,1939,1950,1,1,2008,118000
10,11200,1,0,5,5,1965,1965,1,2,2008,129500
11,11924,1,0,9,5,2005,2006,1,7,2006,345000
12,12968,1,0,5,6,1962,1962,1,9,2008,144000
13,10652,1,0,7,5,2006,2007,1,8,2007,279500
14,10920,1,0,6,5,1960,1960,1,5,2008,157000
15,6120,1,0,7,8,1929,2001,1,7,2007,132000
16,11241,1,0,6,7,1970,1970,1,3,2010,149000
17,10791,1,2,4,5,1967,1967,1,10,2006,90000
18,13695,1,0,5,5,2004,2004,1,6,2008,159000
19,7560,1,0,5,6,1958,1965,1,5,2009,139000
20,14215,1,0,8,5,2005,2006,1,11,2006,325300
21,7449,1,0,7,7,1930,1950,1,6,2007,139400
22,9742,1,0,8,5,2002,2002,1,9,2008,230000
23,4224,1,4,5,7,1976,1976,1,6,2007,129900
24,8246,1,0,5,8,1968,2001,1,5,2010,154000
25,14230,1,0,8,5,2007,2007,1,7,2009,256300
26,7200,1,0,5,7,1951,2000,1,5,2010,134800
27,11478,1,0,8,5,2007,2008,1,5,2010,306000
28,16321,1,0,5,6,1957,1997,1,12,2006,207500
29,6324,1,0,4,6,1927,1950,0,5,2008,68500
30,8500,1,0,4,4,1920,1950,0,7,2008,40000
31,8544,1,0,5,6,1966,2006,1,6,2008,149350
32,11049,1,0,8,5,2007,2007,1,1,2008,179900
33,10552,1,0,5,5,1959,1959,1,4,2010,165500
34,7313,1,4,9,5,2005,2005,1,8,2007,277500
35,13418,1,0,8,5,2004,2005,1,9,2006,309000
36,10859,1,0,5,5,1994,1995,1,6,2009,145000
37,8532,1,0,5,6,1954,1990,1,10,2009,153000
38,7922,1,0,5,7,1953,2007,1,1,2010,109000
39,6040,1,2,4,5,1955,1955,0,6,2008,82000
40,8658,1,0,6,5,1965,1965,1,12,2006,160000
41,16905,1,0,5,6,1959,1959,1,7,2007,170000
42,9180,1,0,5,7,1983,1983,1,12,2007,144000
43,9200,1,0,5,6,1975,1980,1,7,2008,130250
44,7945,1,0,5,6,1959,1959,1,5,2006,141000
45,7658,1,4,9,5,2005,2005,1,2,2010,319900
46,12822,1,0,7,5,2003,2003,1,8,2009,239686
47,11096,1,0,8,5,2006,2006,1,7,2007,249700
48,4456,1,1,4,5,1920,2008,1,6,2009,113000
49,7742,1,0,5,7,1966,1966,1,1,2007,127000
50,13869,1,0,6,6,1997,1997,1,7,2007,177000
51,6240,1,0,6,6,1934,1950,1,9,2006,114500
52,8472,0,2,5,5,1963,1963,0,5,2010,110000
53,50271,1,0,9,5,1981,1987,1,11,2006,385000
54,7134,1,0,5,5,1955,1955,1,2,2007,130000
55,10175,1,0,6,5,1964,1964,1,7,2008,180500
56,2645,1,3,8,5,1999,2000,1,8,2009,172500
57,11645,1,0,7,5,2004,2004,1,8,2006,196500
58,13682,1,0,10,5,2006,2006,1,10,2006,438780
59,7200,1,0,5,7,1972,1972,1,1,2008,124900
60,13072,1,0,6,5,2004,2004,1,5,2006,158000
61,7200,1,0,5,7,1920,1996,0,3,2007,101000
62,6442,1,4,8,5,2006,2006,1,10,2007,202500
63,10300,1,0,7,6,1921,1950,1,4,2010,140000
64,9375,1,0,7,5,1997,1998,1,2,2009,219500
65,9591,1,0,8,5,2004,2005,1,10,2007,317000
66,19900,1,0,7,5,1970,1989,1,7,2010,180000
67,10665,1,0,7,5,2003,2003,1,6,2007,226000
68,4608,1,0,4,6,1945,1950,1,6,2010,80000
69,15593,1,0,7,4,1953,1953,1,7,2006,225000
70,13651,1,0,7,6,1973,1973,1,2,2007,244000
71,7599,1,0,4,6,1982,2006,1,6,2007,129500
72,10141,1,0,7,5,1998,1998,1,12,2009,185000
73,10200,1,0,5,7,1954,2003,1,5,2010,144900
74,5790,1,0,3,6,1915,1950,0,5,2010,107400
75,1596,1,3,4,5,1973,1973,1,11,2009,91000
76,8475,1,0,4,7,1956,1956,1,4,2008,135750
77,8635,1,0,5,5,1948,2001,1,1,2008,127000
78,10778,1,2,4,5,1968,1968,0,4,2010,136500
79,10440,1,0,5,6,1910,1981,1,5,2009,110000
80,13000,1,0,6,6,1968,1968,1,6,2009,193500
81,4500,1,4,6,5,1998,1998,1,3,2006,153500
82,10206,1,0,8,5,2007,2007,1,10,2008,245000
83,8892,1,0,5,5,1960,1960,1,7,2007,126500
84,8530,1,0,7,5,1995,1996,1,5,2009,168500
